image_path,label,source,source_type,source_name,source_url,license_type,license_url,attribution_note,permission_note,notes,reviewed,reviewer,privacy_checked,split,near_duplicate_group
datasets/raw/rice_clear_commons_0021.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice-paddy.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,"Attribution required to Angie / Wikimedia Commons",,Strong realistic rice-paddy field photo,no,,no,,group_021
datasets/raw/rice_clear_commons_0022.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field.jpg,Public domain (USAID / U.S. federal government),,Public domain reuse still requires source note from file page,,Realistic field-work photo in ricefield,no,,no,,group_022
datasets/raw/rice_clear_commons_0024.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Attribution required as shown on the Commons file page",,Realistic rice paddy image,no,,no,,group_024
datasets/raw/rice_clear_commons_0025.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_Corella_Bohol.jpg,Public domain,,Public domain dedication by Magalhães / Wikimedia Commons,,Realistic rice field photo from Bohol,no,,no,,group_025
datasets/raw/rice_clear_commons_0027.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields_from_the_outskirts_of_Sogod.jpg,CC BY-SA multi-license,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution to BrianZhukov / Wikimedia Commons",,Realistic rice field landscape photo; file page lists multiple CC BY-SA versions,no,,no,,group_027
datasets/raw/rice_clear_commons_0028.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Local_rice_paddy_fields.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Ummigarba / Wikimedia Commons",,Realistic rice paddy field with farmers,no,,no,,group_028
datasets/raw/rice_clear_commons_0031.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Asia_Rice_paddy.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"Public domain dedication via CC0",,Realistic rice field scene with farmers,no,,no,,group_031
datasets/raw/rice_clear_commons_0038.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_fields.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required to Gsnewid / Wikimedia Commons",,Realistic rice paddy field photo from Thanjavur area,no,,no,,group_038
datasets/raw/rice_clear_commons_0039.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_field_at_Patacbo,_Basista,_Pangasinan.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Xpeculator / Wikimedia Commons",,Realistic rice field photo from Pangasinan,no,,no,,group_039
datasets/raw/rice_clear_commons_0044.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_paddy_field_(rice_field)_in_bangladesh.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,Realistic paddy-field image from Bangladesh,no,,no,,group_044
